title,source,composer,arranger,instrumentation,duration,year,ensemble,purchaseLink,premiere
Nostalgia,-,Joe Hisaishi,Daniel Kim,"Flute, Cello, Piano","3'30""",2022,Trio,-,A Studio Ghibli Tribute
Porco Rosso Medley,Porco Rosso,Joe Hisaishi,Daniel Kim,"Flute, Cello, Piano","5'00""",2022,Trio,-,A Studio Ghibli Tribute
Kiki's Delivery Service Medley (Extended),Kiki's Delivery Service,Joe Hisaishi,Daniel Kim,"Flute, Cello, Piano","6'30""",2022,Trio,-,A Studio Ghibli Tribute
Galactic Suite,-,Daniel Kim,-,"Flute, Clarinet, Piano","35'00""",2022,Trio,-,AMP x GAAACC
Reprise,Spirited Away,Joe Hisaishi,Daniel Kim,"Flute, Cello, Piano","4'30""",2022,Trio,https://www.sheetmusicplus.com/title/reprise-digital-sheet-music/22486785,A Studio Ghibli Tribute
On a Clear Day,Kiki's Delivery Service,Joe Hisaishi,Daniel Kim,"Flute, Cello, Piano","2'00""",2022,Trio,https://www.sheetmusicplus.com/title/kiki-s-delivery-service-on-a-clear-day-digital-sheet-music/22487175,A Studio Ghibli Tribute
Theme of Violet Evergarden,Violet Evergarden,Evan Call,Daniel Kim,"Flute, Violin, Piano","3'00""",2026,Trio,https://www.sheetmusicplus.com/en/product/theme-of-violet-evergarden-23683946.html,Magic Garden
Time Flows Ever Onward,Frieren: Beyond Journey's End,Evan Call,Daniel Kim,"Flute, Violin, Piano","2'00""",2026,Trio,https://www.sheetmusicplus.com/en/product/time-flows-ever-onward-23683960.html,Magic Garden
Never Coming Back,Violet Evergarden,Evan Call,Daniel Kim,"Flute, Violin, Piano","2'30""",2026,Trio,https://www.sheetmusicplus.com/en/product/never-coming-back-23683952.html,Magic Garden
Torment,Violet Evergarden,Evan Call,Daniel Kim,"Flute, Violin, Piano","2'30""",2026,Trio,https://www.sheetmusicplus.com/en/product/torment-23683938.html,Magic Garden
The Ultimate Price,Violet Evergarden,Evan Call,Daniel Kim,"Flute, Violin, Piano","3'00""",2026,Trio,https://www.sheetmusicplus.com/en/product/the-ultimate-price-23683948.html,Magic Garden
Across the Violet Sky,Violet Evergarden,Evan Call,Daniel Kim,"Flute, Violin, Piano","3'00""",2026,Trio,https://www.sheetmusicplus.com/en/product/across-the-violet-sky-23683951.html,Magic Garden
Journey of a Lifetime,Frieren: Beyond Journey's End,Evan Call,Daniel Kim,"Flute, Violin, Piano","3'00""",2026,Trio,https://www.sheetmusicplus.com/en/product/journey-of-a-lifetime-frieren-main-theme-23683959.html,Magic Garden
Waltz for Stark and Fern,Frieren: Beyond Journey's End,Evan Call,Daniel Kim,"Flute, Violin, Piano","5'00""",2026,Trio,https://www.sheetmusicplus.com/en/product/waltz-for-stark-and-fern-23683957.html,Magic Garden
Fractured,-,Daniel Kim,-,"Flute, Violin, Piano","4'00""",2026,Trio,https://www.sheetmusicplus.com/en/product/fractured-23683953.html,Magic Garden
Frieren the Slayer,Frieren: Beyond Journey's End,Evan Call,Daniel Kim,"Flute, Violin, Piano","4'00""",2026,Trio,https://www.sheetmusicplus.com/en/product/frieren-the-slayer-23683958.html,Magic Garden
Zoltraak,Frieren: Beyond Journey's End,Evan Call,Daniel Kim,"Flute, Violin, Piano","4'00""",2026,Trio,https://www.sheetmusicplus.com/en/product/zoltraak-23683954.html,Magic Garden
Frieren Medley,Frieren: Beyond Journey's End,Evan Call,Daniel Kim,"Flute, Violin, Piano","6'00""",2026,Trio,https://www.sheetmusicplus.com/en/product/journey-of-a-lifetime-frieren-main-theme-23683961.html,Magic Garden
Merry-Go-Round of Life,Howl's Moving Castle,Joe Hisaishi,Jingchao Wang,"Flute, Cello, Piano","3'00""",2022,Trio,-,A Studio Ghibli Tribute
Princess Mononoke Medley,Princess Mononoke,Joe Hisaishi,Jingchao Wang,"Flute, Cello, Piano","4'30""",2022,Trio,-,A Studio Ghibli Tribute
Ashitaka and San,Princess Mononoke,Joe Hisaishi,Jingchao Wang,"Flute, Cello, Piano",-,2022,Trio,-,A Studio Ghibli Tribute
Deep Sea Ranch & Mother Sea,Ponyo on the Cliff,Joe Hisaishi,Jingchao Wang,"Flute, Cello, Piano","4'00""",2022,Trio,-,A Studio Ghibli Tribute
The Dragon Boy,Spirited Away,Joe Hisaishi,Daniel Kim,"Flute, Cello, Piano","2'00""",2022,Trio,-,A Studio Ghibli Tribute
One Summer's Day,Spirited Away,Joe Hisaishi,Daniel Kim,"Flute, Cello, Piano","5'00""",2022,Trio,-,A Studio Ghibli Tribute
Town with an Ocean View,Kiki's Delivery Service,Joe Hisaishi,Daniel Kim,"Flute, Cello, Piano","3'00""",2022,Trio,-,A Studio Ghibli Tribute
Kiki's Delivery Service Medley,Kiki's Delivery Service,Joe Hisaishi,Daniel Kim,"Flute, Cello, Piano","2'00""",2022,Trio,-,A Studio Ghibli Tribute
My Neighbor Totoro Medley,My Neighbor Totoro,Joe Hisaishi,Daniel Kim,"Flute, Cello, Piano","3'00""",2022,Trio,-,A Studio Ghibli Tribute
